step,epoch,train_loss
36,6680,81.2
37,6680,81.2
38,6680,69.6
39,6680,69.6
40,6680,70.0
41,6680,70.0
42,6680,67.4
43,6680,67.4
44,6680,61.7
45,6680,61.7
46,6680,62.6
47,6680,62.6
48,6680,58.3
49,6680,58.3
50,6680,59.2
51,6680,59.2
52,6680,57.0
53,6680,57.0
54,6680,54.8
57,6680,54.8
58,6680,54.0
59,6680,54.0
60,6680,53.9
61,6680,53.9
62,6680,52.8
63,6680,52.8
64,6680,53.6
65,6680,53.6
66,6680,48.8
67,6680,48.8
68,6680,52.0
69,6680,52.0
70,6680,51.6
71,6680,51.6
72,6680,49.0
73,6680,49.0
74,6680,49.8
75,6680,49.8
76,6680,48.7
79,6680,48.7
80,6680,48.6
81,6680,48.6
82,6680,50.8
83,6680,50.8
84,6680,51.2
85,6680,51.2
86,6680,50.7
87,6680,50.7
88,6680,47.3
89,6680,47.3
90,6680,50.1
91,6680,50.1
92,6680,48.7
93,6680,48.7
94,6680,50.1
95,6680,50.1
96,6680,49.0
97,6680,49.0
98,6680,51.1
101,6680,51.1
102,6680,47.2
103,6680,47.2
104,6680,48.2
105,6680,48.2
106,6680,48.2
107,6680,48.2
108,6680,47.4
109,6680,47.4
110,6680,46.0
111,6680,46.0
112,6680,45.1
113,6680,45.1
114,6680,46.7
115,6680,46.7
116,6680,49.4
117,6680,49.4
118,6680,47.8
119,6680,47.8
120,6680,46.5
123,6680,46.5
124,6680,47.2
125,6680,47.2
126,6680,45.0
127,6680,45.0
128,6680,45.6
129,6680,45.6
130,6680,47.0
131,6680,47.0
132,6680,46.4
133,6680,46.4
134,6680,45.7
135,6680,45.7
136,6680,47.4
137,6680,47.4
138,6680,46.5
139,6680,46.5
140,6680,46.9
141,6680,46.9
142,6680,45.6
145,6680,45.6
146,6680,46.6
147,6680,46.6
148,6680,46.3
149,6680,46.3
150,6680,46.3
151,6680,46.3
152,6680,44.8
153,6680,44.8
154,6680,45.6
155,6680,45.6
156,6680,44.9
157,6680,44.9
158,6680,44.3
159,6680,44.3
160,6680,44.3
161,6680,44.3
162,6680,46.2
163,6680,46.2
164,6680,46.1
167,6680,46.1
168,6680,45.6
169,6680,45.6
170,6680,45.4
171,6680,45.4
172,6680,47.0
173,6680,47.0
174,6680,45.5
175,6680,45.5
176,6680,44.8
177,6680,44.8
178,6680,46.5
179,6680,46.5
180,6680,44.6
181,6680,44.6
182,6680,43.7
183,6680,43.7
184,6680,45.5
185,6680,45.5
186,6680,45.2
189,6680,45.2
190,6680,41.6
191,6680,41.6
192,6680,45.3
193,6680,45.3
194,6680,43.2
195,6680,43.2
196,6680,45.2
197,6680,45.2
198,6680,46.5
199,6680,46.5
200,6680,45.2
201,6680,45.2
202,6680,44.5
203,6680,44.5
204,6680,43.6
205,6680,43.6
206,6680,45.6
207,6680,45.6
208,6680,44.7
211,6680,44.7
212,6680,46.1
213,6680,46.1
214,6680,42.8
215,6680,42.8
216,6680,45.4
217,6680,45.4
218,6680,45.1
219,6680,45.1
220,6680,44.9
221,6680,44.9
222,6680,46.0
223,6680,46.0
224,6680,43.4
225,6680,43.4
226,6680,45.2
227,6680,45.2
228,6680,44.7
229,6680,44.7
230,6680,52.2
180,6680,52.2
236,6680,52.2
237,6681,52.2
238,6681,52.2
239,6681,44.8
240,6681,44.8
241,6681,43.3
242,6681,43.3
243,6681,44.8
244,6681,44.8
245,6681,43.9
246,6681,43.9
247,6681,45.7
248,6681,45.7
249,6681,45.7
250,6681,45.7
251,6681,43.5
252,6681,43.5
253,6681,45.3
254,6681,45.3
255,6681,45.6
256,6681,45.6
257,6681,44.5
261,6681,44.5
262,6681,43.1
263,6681,43.1
264,6681,44.2
265,6681,44.2
266,6681,45.2
267,6681,45.2
268,6681,44.8
269,6681,44.8
270,6681,43.5
271,6681,43.5
272,6681,44.1
273,6681,44.1
274,6681,42.0
275,6681,42.0
276,6681,44.0
277,6681,44.0
278,6681,44.7
279,6681,44.7
280,6681,46.6
283,6681,46.6
284,6681,43.3
285,6681,43.3
286,6681,47.1
287,6681,47.1
288,6681,45.6
289,6681,45.6
290,6681,43.7
291,6681,43.7
292,6681,44.3
293,6681,44.3
294,6681,42.2
295,6681,42.2
296,6681,41.9
297,6681,41.9
298,6681,44.3
299,6681,44.3
300,6681,42.9
301,6681,42.9
302,6681,43.7
305,6681,43.7
306,6681,43.1
307,6681,43.1
308,6681,44.0
309,6681,44.0
310,6681,42.9
311,6681,42.9
312,6681,42.4
313,6681,42.4
314,6681,43.8
315,6681,43.8
316,6681,45.5
317,6681,45.5
318,6681,45.2
319,6681,45.2
