step,epoch,train_loss
35,6680,81.2
36,6680,81.2
37,6680,69.6
38,6680,69.6
39,6680,70.0
40,6680,70.0
41,6680,67.3
42,6680,67.3
43,6680,61.6
44,6680,61.6
45,6680,62.5
46,6680,62.5
47,6680,57.9
48,6680,57.9
49,6680,58.9
50,6680,58.9
51,6680,56.7
52,6680,56.7
53,6680,54.8
54,6680,54.8
55,6680,54.0
56,6680,54.0
57,6680,53.5
58,6680,53.5
59,6680,52.9
60,6680,52.9
61,6680,53.2
62,6680,53.2
63,6680,48.7
64,6680,48.7
65,6680,52.3
66,6680,52.3
67,6680,51.7
68,6680,51.7
69,6680,49.0
70,6680,49.0
71,6680,49.7
72,6680,49.7
73,6680,48.8
74,6680,48.8
75,6680,48.5
76,6680,48.5
77,6680,50.6
78,6680,50.6
79,6680,51.0
80,6680,51.0
81,6680,50.9
82,6680,50.9
83,6680,47.0
84,6680,47.0
85,6680,49.8
86,6680,49.8
87,6680,48.6
88,6680,48.6
89,6680,50.4
90,6680,50.4
91,6680,49.1
92,6680,49.1
93,6680,51.0
94,6680,51.0
95,6680,47.2
96,6680,47.2
97,6680,48.0
98,6680,48.0
99,6680,48.0
100,6680,48.0
101,6680,47.1
102,6680,47.1
103,6680,45.7
104,6680,45.7
105,6680,45.2
106,6680,45.2
107,6680,46.9
108,6680,46.9
109,6680,49.3
110,6680,49.3
111,6680,47.6
112,6680,47.6
113,6680,46.4
114,6680,46.4
115,6680,47.4
116,6680,47.4
117,6680,44.6
118,6680,44.6
119,6680,45.5
120,6680,45.5
121,6680,46.8
122,6680,46.8
123,6680,46.7
124,6680,46.7
125,6680,45.6
126,6680,45.6
127,6680,47.6
128,6680,47.6
129,6680,46.0
130,6680,46.0
131,6680,47.1
132,6680,47.1
133,6680,45.9
134,6680,45.9
135,6680,46.9
136,6680,46.9
137,6680,46.1
138,6680,46.1
139,6680,46.1
140,6680,46.1
141,6680,44.6
142,6680,44.6
143,6680,45.3
144,6680,45.3
145,6680,44.8
146,6680,44.8
147,6680,44.4
148,6680,44.4
149,6680,44.1
150,6680,44.1
151,6680,46.5
152,6680,46.5
153,6680,46.3
154,6680,46.3
155,6680,45.6
156,6680,45.6
157,6680,45.3
158,6680,45.3
159,6680,46.8
160,6680,46.8
161,6680,45.4
162,6680,45.4
163,6680,44.5
164,6680,44.5
165,6680,46.2
166,6680,46.2
167,6680,44.8
168,6680,44.8
169,6680,43.8
170,6680,43.8
171,6680,45.6
172,6680,45.6
173,6680,44.9
174,6680,44.9
175,6680,41.5
176,6680,41.5
177,6680,45.4
178,6680,45.4
179,6680,43.6
180,6680,43.6
181,6680,45.3
182,6680,45.3
183,6680,46.5
184,6680,46.5
185,6680,45.3
186,6680,45.3
187,6680,45.0
188,6680,45.0
189,6680,43.6
190,6680,43.6
191,6680,45.7
192,6680,45.7
193,6680,44.8
194,6680,44.8
195,6680,45.9
196,6680,45.9
197,6680,42.6
198,6680,42.6
199,6680,45.1
200,6680,45.1
201,6680,45.2
202,6680,45.2
203,6680,45.0
204,6680,45.0
205,6680,46.2
206,6680,46.2
207,6680,43.9
208,6680,43.9
209,6680,45.0
210,6680,45.0
211,6680,44.8
212,6680,44.8
213,6680,51.4
180,6680,51.4
216,6680,51.4
217,6681,51.4
218,6681,51.4
219,6681,44.9
220,6681,44.9
221,6681,42.8
222,6681,42.8
223,6681,44.9
224,6681,44.9
225,6681,43.7
226,6681,43.7
227,6681,45.2
228,6681,45.2
229,6681,45.6
230,6681,45.6
231,6681,43.0
232,6681,43.0
233,6681,45.1
234,6681,45.1
235,6681,45.5
236,6681,45.5
237,6681,44.3
238,6681,44.3
239,6681,42.4
240,6681,42.4
241,6681,44.4
242,6681,44.4
243,6681,45.1
244,6681,45.1
245,6681,44.6
246,6681,44.6
247,6681,43.4
248,6681,43.4
249,6681,44.0
250,6681,44.0
251,6681,42.1
252,6681,42.1
253,6681,44.1
254,6681,44.1
255,6681,44.7
256,6681,44.7
257,6681,47.9
258,6681,47.9
259,6681,43.3
260,6681,43.3
261,6681,46.4
262,6681,46.4
263,6681,45.6
